,STR Number,Hotel Name,Address 1,Address 2,City,State,Country,Postal Code,Rooms,Market,Sub-Market,Open Date,Original Affiliation,Class,Location,Affiliation,Year/Month Affiliated,Telephone,Latitude,Longitude,coordinates,nearBeach,BeachID,distance
10,248908,Leys Hotel,Main Rd,,Aberdeen,NES,United Kingdom,AB21 0SS,6,Aberdeen,Aberdeen Airport,180501.0,Independent,Upscale Class,Small Metro/Town,Independent,180501.0,441224790203.0,57.203862,-2.288231,"(57.203862, -2.288231)","[3131, 8.088481326247399]",3131,8.088481326247399
11,248834,The Dunavon,60 Victoria St,Dyce,Aberdeen,NES,United Kingdom,AB21 7EE,22,Aberdeen,Aberdeen Airport,,Independent,Upscale Class,Urban,Independent,,441224722483.0,57.204068,-2.18878,"(57.204068, -2.18878)","[3131, 4.556036720264857]",3131,4.556036720264857
12,110882,Marriott Aberdeen Hotel,4 Parkhill Way,Dyce,Aberdeen,NES,United Kingdom,AB21 7FL,155,Aberdeen,Aberdeen Airport,198001.0,Marriott,Upper Upscale Class,Airport,Marriott,202010.0,441224770011.0,57.199575,-2.18556,"(57.199575, -2.18556)","[3131, 4.323746776971358]",3131,4.323746776971358
13,261245,Hilton Aberdeen TECA,Eastburn Rd,Stoneywood,Aberdeen,NES,United Kingdom,AB21 9FX,200,Aberdeen,Aberdeen Airport,201908.0,Hilton,Upper Upscale Class,Urban,Hilton,202007.0,441224984111.0,57.18512,-2.189678,"(57.18512, -2.189678)","[3131, 4.2188312434813415]",3131,4.2188312434813415
14,263097,aloft Hotel Aberdeen TECA,Gough Burn Cres,,Aberdeen,NES,United Kingdom,AB21 9FY,150,Aberdeen,Aberdeen Airport,201908.0,aloft Hotel,Upscale Class,Airport,aloft Hotel,202102.0,441224984777.0,57.18573,-2.189043,"(57.18573, -2.189043)","[3131, 4.201339026226221]",3131,4.201339026226221
15,155375,The Craighaar Hotel,Waterton Rd,Bankhead,Aberdeen,NES,United Kingdom,AB21 9HS,53,Aberdeen,Aberdeen Airport,,Independent,Upscale Class,Small Metro/Town,Independent,,441224712275.0,57.18614,-2.182431,"(57.18614, -2.182431)","[3131, 3.961246146262712]",3131,3.961246146262712
16,111321,Britannia Aberdeen Hotel,12 Malcolm Rd,Bucksburn,Aberdeen,NES,United Kingdom,AB21 9LN,254,Aberdeen,Aberdeen Airport,,Crowne Plaza,Upper Midscale Class,Airport,Britannia,201709.0,448712220073.0,57.177971,-2.171937,"(57.177971, -2.171937)","[3131, 3.515120778867167]",3131,3.515120778867167
17,137456,Travelodge Aberdeen Bucksburn Hotel,Inverurie Rd,Bucksburn,Aberdeen,NES,United Kingdom,AB21 9LZ,48,Aberdeen,Aberdeen Airport,200201.0,"Travelodge, UK",Economy Class,Airport,"Travelodge, UK",202008.0,448719846118.0,57.179113,-2.179942,"(57.179113, -2.179942)","[3131, 3.8174957869507975]",3131,3.8174957869507975
18,220283,Holiday Inn Express Aberdeen Airport,3 International Gate,Dyce,Aberdeen,NES,United Kingdom,AB210BE,193,Aberdeen,Aberdeen Airport,201505.0,Holiday Inn Express,Upper Midscale Class,Airport,Holiday Inn Express,201505.0,441224608300.0,57.197421,-2.205293,"(57.197421, -2.205293)","[3131, 4.973666379644097]",3131,4.973666379644097
19,234868,Residence Inn Aberdeen,Guestrow,,Aberdeen,NES,United Kingdom,AB10 1AS,126,Aberdeen,Aberdeen Centre,201710.0,Residence Inn,Upscale Class,Urban,Residence Inn,202007.0,441224061190.0,57.147886,-2.097003,"(57.147886, -2.097003)","[3896, 0.8391144965136089]",3896,0.8391144965136089
20,248824,Aberdeen City Centre Hotel & Apartments,9 Belmont St,,Aberdeen,NES,United Kingdom,AB10 1JR,16,Aberdeen,Aberdeen Centre,,Independent,Upscale Class,Urban,Independent,,441224658406.0,57.146468,-2.101177,"(57.146468, -2.101177)","[3896, 1.0236606456494899]",3896,1.0236606456494899
21,226439,The Globe Inn,13 North Silver St,,Aberdeen,NES,United Kingdom,AB10 1RJ,7,Aberdeen,Aberdeen Centre,,Independent,Economy Class,Suburban,Independent,201812.0,441224641171.0,57.146677,-2.105945,"(57.146677, -2.105945)","[3896, 1.17450304997502]",3896,1.17450304997502
22,135385,Holiday Inn Express Aberdeen City Centre,29 Chapel St,,Aberdeen,NES,United Kingdom,AB10 1SQ,154,Aberdeen,Aberdeen Centre,200211.0,Holiday Inn Express,Upper Midscale Class,Urban,Holiday Inn Express,200211.0,441224623500.0,57.144606,-2.110466,"(57.144606, -2.110466)","[3896, 1.3903477096840335]",3896,1.3903477096840335
23,117579,Mercure Aberdeen Caledonian,Union Ter,,Aberdeen,NES,United Kingdom,AB10 1WE,83,Aberdeen,Aberdeen Centre,189301.0,Thistle,Upper Midscale Class,Urban,Mercure,201512.0,448713769003.0,57.146144,-2.103459,"(57.146144, -2.103459)","[3896, 1.1089006071877954]",3896,1.1089006071877954
24,154340,Cedars Guest House,339 Great Western Rd,,Aberdeen,NES,United Kingdom,AB10 6NW,13,Aberdeen,Aberdeen Centre,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441224583225.0,57.134797,-2.126484,"(57.134797, -2.126484)","[3896, 2.260941516789722]",3896,2.260941516789722
25,154383,The Spires Aberdeen,505 Great Western Rd,,Aberdeen,NES,United Kingdom,AB10 6PE,49,Aberdeen,Aberdeen Centre,199601.0,Spires Serviced Apartments,Upper Upscale Class,Urban,Spires Serviced Apartments,199601.0,448452700090.0,57.131567,-2.13692,"(57.131567, -2.13692)","[3896, 2.709146653789798]",3896,2.709146653789798
26,235271,Great Western Hotel Aberdeen By Magnuson Hotels,239 Great Western Rd,,Aberdeen,NES,United Kingdom,AB10 6PS,23,Aberdeen,Aberdeen Centre,199001.0,Independent,Midscale Class,Urban,Independent,199001.0,441224574484.0,57.136064,-2.122097,"(57.136064, -2.122097)","[3896, 2.076579460368381]",3896,2.076579460368381
27,150167,Skene House Holburn,6 Union Grove,,Aberdeen,NES,United Kingdom,AB10 6SY,14,Aberdeen,Aberdeen Centre,197906.0,Independent,Upscale Class,Urban,Independent,197906.0,441224580000.0,57.141931,-2.113041,"(57.141931, -2.113041)","[3896, 1.5667247223250516]",3896,1.5667247223250516
28,248956,Hansen Residence - The Citadel,26 Castle St,The Citadel,Aberdeen,NES,United Kingdom,AB11 5BQ,33,Aberdeen,Aberdeen Centre,201401.0,Independent,Upper Midscale Class,Urban,Independent,201401.0,441224254480.0,57.148382,-2.091866,"(57.148382, -2.091866)","[3896, 0.6592426052710746]",3896,0.6592426052710746
29,197130,ibis Aberdeen Centre Quayside,15 Shiprow,City Wharf,Aberdeen,NES,United Kingdom,AB11 5BY,107,Aberdeen,Aberdeen Centre,201107.0,ibis,Midscale Class,Urban,ibis,202008.0,441224398800.0,57.146503,-2.094237,"(57.146503, -2.094237)","[3896, 0.8094412138234407]",3896,0.8094412138234407
30,118961,Aberdeen Douglas Hotel,43 Market St,,Aberdeen,NES,United Kingdom,AB11 5EL,157,Aberdeen,Aberdeen Centre,,Stakis,Midscale Class,Urban,Independent,202006.0,441224582255.0,57.146039,-2.096054,"(57.146039, -2.096054)","[3896, 0.8824270951112481]",3896,0.8824270951112481
31,161785,Jurys Inn Aberdeen,Union Sq,Guild Street,Aberdeen,NES,United Kingdom,AB11 5RG,203,Aberdeen,Aberdeen Centre,200909.0,Jurys Inn,Upper Midscale Class,Urban,Jurys Inn,202007.0,441224381200.0,57.144438,-2.097566,"(57.144438, -2.097566)","[3896, 0.9971887408819257]",3896,0.9971887408819257
32,172545,City Hotel & Citi Hostel,1 Bath St,,Aberdeen,NES,United Kingdom,AB11 6BJ,42,Aberdeen,Aberdeen Centre,185706.0,Independent,Economy Class,Urban,Independent,201811.0,441224945650.0,57.144746,-2.102075,"(57.144746, -2.102075)","[3896, 1.116641337444726]",3896,1.116641337444726
33,248832,Craibstone Suites,15 Bon Accord Sq,,Aberdeen,NES,United Kingdom,AB11 6DJ,18,Aberdeen,Aberdeen Centre,200901.0,Independent,Upper Midscale Class,Urban,Independent,200901.0,441224857950.0,57.142464,-2.106727,"(57.142464, -2.106727)","[3896, 1.3502946402780298]",3896,1.3502946402780298
34,248957,Hansen Residence - The Galleria,15 Bon Accord St,,Aberdeen,NES,United Kingdom,AB11 6EA,47,Aberdeen,Aberdeen Centre,201401.0,Independent,Upper Midscale Class,Urban,Independent,201401.0,441224254480.0,57.143894,-2.105841,"(57.143894, -2.105841)","[3896, 1.2664262811792484]",3896,1.2664262811792484
35,179271,Park Inn by Radisson Aberdeen,1 Justice Mill Ln,,Aberdeen,NES,United Kingdom,AB11 6EQ,185,Aberdeen,Aberdeen Centre,201008.0,Park Inn,Upper Midscale Class,Urban,Park Inn,202007.0,441224592999.0,57.142559,-2.109138,"(57.142559, -2.109138)","[3896, 1.4204484113955802]",3896,1.4204484113955802
36,276761,Aaran Central Guest House,113 Crown St,,Aberdeen,NES,United Kingdom,AB11 6HN,12,Aberdeen,Aberdeen Centre,,Independent,Economy Class,Urban,Independent,,441224210264.0,57.142512,-2.101408,"(57.142512, -2.101408)","[3896, 1.1932614599337377]",3896,1.1932614599337377
37,137459,Travelodge Aberdeen Central Hotel,9 Bridge St,,Aberdeen,NES,United Kingdom,AB11 6JL,97,Aberdeen,Aberdeen Centre,200801.0,"Travelodge, UK",Economy Class,Suburban,"Travelodge, UK",200801.0,448719846117.0,57.145241,-2.1015,"(57.145241, -2.1015)","[3896, 1.079452234987816]",3896,1.079452234987816
38,136828,Carmelite Hotel BW Signature Collection,Stirling St,,Aberdeen,NES,United Kingdom,AB11 6JU,52,Aberdeen,Aberdeen Centre,187001.0,Paragon Hotel,Upper Midscale Class,Urban,BW Signature Collection,202101.0,441224589101.0,57.145565,-2.09758,"(57.145565, -2.09758)","[3896, 0.9475904539284623]",3896,0.9475904539284623
39,159088,Soprano's St Magnus Court Hotel,12 Guild St,,Aberdeen,NES,United Kingdom,AB11 6NE,29,Aberdeen,Aberdeen Centre,187201.0,Independent,Economy Class,Suburban,Independent,187201.0,441224589411.0,57.145316,-2.096841,"(57.145316, -2.096841)","[3896, 0.9369373339885474]",3896,0.9369373339885474
40,248915,Ferryhill House Hotel,169 Bon Accord St,,Aberdeen,NES,United Kingdom,AB11 6UA,9,Aberdeen,Aberdeen Centre,,Independent,Upper Upscale Class,Urban,Independent,,441224590867.0,57.13801,-2.104468,"(57.13801, -2.104468)","[3896, 1.4943854968864403]",3896,1.4943854968864403
41,248955,Apple Apartments Devanha Gardens,Devanha Ter,,Aberdeen,NES,United Kingdom,AB11 7TW,11,Aberdeen,Aberdeen Centre,201601.0,Apple Apartments,Upper Upscale Class,Urban,Apple Apartments,201601.0,441224641108.0,57.136321,-2.103981,"(57.136321, -2.103981)","[3896, 1.5713090776476073]",3896,1.5713090776476073
42,128021,Station Hotel,78 Guild St,,Aberdeen,NES,United Kingdom,AB116GN,112,Aberdeen,Aberdeen Centre,189401.0,Independent,Economy Class,Urban,Independent,189401.0,441224587214.0,57.144791,-2.098728,"(57.144791, -2.098728)","[3896, 1.014588526409615]",3896,1.014588526409615
43,248925,Langley Apartments,Beaconsfield Mews,,Aberdeen,NES,United Kingdom,AB15 4DJ,5,Aberdeen,Aberdeen Centre,201401.0,Independent,Upper Midscale Class,Urban,Independent,201401.0,448454502068.0,57.14406,-2.128395,"(57.14406, -2.128395)","[3896, 2.0214060753799226]",3896,2.0214060753799226
44,248835,Dutch Mill Hotel,7 Queens Rd,,Aberdeen,NES,United Kingdom,AB15 4NR,9,Aberdeen,Aberdeen Centre,,Independent,Upscale Class,Urban,Independent,,441224322555.0,57.142211,-2.129251,"(57.142211, -2.129251)","[3896, 2.098020659460381]",3896,2.098020659460381
45,248926,Queens Road Apartments,80 Queens Rd,,Aberdeen,NES,United Kingdom,AB15 4YE,20,Aberdeen,Aberdeen Centre,,Independent,Upper Midscale Class,Urban,Independent,,,57.140961,-2.138737,"(57.140961, -2.138737)","[3896, 2.4598941975136164]",3896,2.4598941975136164
46,154372,Atholl Hotel,54 King's Gate,,Aberdeen,NES,United Kingdom,AB15 4YN,34,Aberdeen,Aberdeen Centre,196201.0,Independent,Upscale Class,Small Metro/Town,Independent,196201.0,441224323505.0,57.147072,-2.13634,"(57.147072, -2.13634)","[3896, 2.2500117105015223]",3896,2.2500117105015223
47,154338,Malmaison Aberdeen,49 Queens Rd,,Aberdeen,NES,United Kingdom,AB15 4YP,79,Aberdeen,Aberdeen Centre,,Independent,Upper Upscale Class,Small Metro/Town,Malmaison,202007.0,441224507097.0,57.140722,-2.13544,"(57.140722, -2.13544)","[3896, 2.351802344296081]",3896,2.351802344296081
48,214972,Aberdeen Great Northern Road Apartments,431 Great Northern Rd,,Aberdeen,NES,United Kingdom,AB24 2EU,3,Aberdeen,Aberdeen Centre,201403.0,Dreamhouse Serviced Apartments,Upscale Class,Urban,Independent,201604.0,448452260232.0,57.170689,-2.125963,"(57.170689, -2.125963)","[49238, 1.7933545716353685]",49238,1.7933545716353685
49,141919,Premier Inn Aberdeen City Centre,10 West North St,West North Street,Aberdeen,NES,United Kingdom,AB24 5AS,190,Aberdeen,Aberdeen Centre,200001.0,Premier Inn,Economy Class,Urban,Premier Inn,202007.0,448715278008.0,57.150487,-2.094718,"(57.150487, -2.094718)","[3896, 0.683406724963722]",3896,0.683406724963722
50,248920,Rosemount Palace,Caroline Pl,,Aberdeen,NES,United Kingdom,AB25 2TH,17,Aberdeen,Aberdeen Centre,,Independent,Upscale Class,Urban,Independent,,441224637133.0,57.152992,-2.112181,"(57.152992, -2.112181)","[3896, 1.294367046304162]",3896,1.294367046304162
51,248912,Apple Apartments Aberdeen,120 Rosemount Pl,,Aberdeen,NES,United Kingdom,AB25 2YW,9,Aberdeen,Aberdeen Centre,201301.0,Apple Apartments,Upper Upscale Class,Urban,Apple Apartments,201301.0,441224641108.0,57.149953,-2.116204,"(57.149953, -2.116204)","[3896, 1.4705021682829804]",3896,1.4705021682829804
52,117706,The Aberdeen Altens Hotel,Souterhead Rd,,Aberdeen,NES,United Kingdom,AB12 3LF,216,Aberdeen,Aberdeen Surrounding,198005.0,Thistle,Upper Midscale Class,Urban,Independent,202007.0,441224379240.0,57.108615,-2.090013,"(57.108615, -2.090013)","[20551, 1.01918341150916]",20551,1.01918341150916
53,248906,Cove Bay Hotel,12 Colsea Rd,Cove Bay,Aberdeen,NES,United Kingdom,AB12 3NA,14,Aberdeen,Aberdeen Surrounding,,Independent,Upscale Class,Urban,Independent,,441224897211.0,57.099292,-2.077622,"(57.099292, -2.077622)","[20551, 0.22744204609567514]",20551,0.22744204609567514
54,125788,Maryculter House Hotel,S Deeside Rd,,Aberdeen,NES,United Kingdom,AB12 5GB,40,Aberdeen,Aberdeen Surrounding,,Independent,Upper Midscale Class,Urban,Independent,,441224732124.0,57.084851,-2.258796,"(57.084851, -2.258796)","[20551, 6.945602710362672]",20551,6.945602710362672
55,248837,Kepplestone Manor,80 Queens HIghland,Queens Road,Aberdeen,NES,United Kingdom,AB15 4AS,20,Aberdeen,Aberdeen Surrounding,201101.0,Independent,Upper Midscale Class,Urban,Independent,201101.0,441224639355.0,57.139098,-2.144432,"(57.139098, -2.144432)","[3896, 2.706098417167026]",3896,2.706098417167026
56,248939,Kepplestone Apartments,80 Queens Highlands,,Aberdeen,NES,United Kingdom,AB15 4AS,18,Aberdeen,Aberdeen Surrounding,201101.0,Independent,Upper Midscale Class,Urban,Independent,201101.0,441224595555.0,57.139142,-2.144529,"(57.139142, -2.144529)","[3896, 2.7083018250719415]",3896,2.7083018250719415
57,141918,Premier Inn Aberdeen Anderson Drive,North Anderson Dr,,Aberdeen,NES,United Kingdom,AB15 6DW,59,Aberdeen,Aberdeen Surrounding,199701.0,Premier Inn,Economy Class,Urban,Premier Inn,202007.0,448715278006.0,57.150851,-2.150778,"(57.150851, -2.150778)","[3896, 2.7477933627386877]",3896,2.7477933627386877
58,140397,Sure Hotel by Best Western Aberdeen,20 Summerhill Ct,,Aberdeen,NES,United Kingdom,AB15 6TW,45,Aberdeen,Aberdeen Surrounding,200701.0,Independent,Economy Class,Suburban,SureStay,201911.0,441224315100.0,57.151429,-2.15263,"(57.151429, -2.15263)","[3896, 2.8141268263729082]",3896,2.8141268263729082
59,214967,Aberdeen Craigieburn Park Serviced Apartments,2-66 Craigieburn Park,,Aberdeen,NES,United Kingdom,AB15 7SG,2,Aberdeen,Aberdeen Surrounding,201403.0,Dreamhouse Serviced Apartments,Upscale Class,Urban,Independent,201604.0,448452260232.0,57.135185,-2.154209,"(57.135185, -2.154209)","[3896, 3.150074463904521]",3896,3.150074463904521
60,219409,Village Hotel Hotel Aberdeen,Kingswells Causeway,Kingswells,Aberdeen,NES,United Kingdom,AB15 8PJ,148,Aberdeen,Aberdeen Surrounding,201412.0,Village Hotel,Upper Midscale Class,Urban,Village Hotel,202007.0,441224470025.0,57.151141,-2.225629,"(57.151141, -2.225629)","[3896, 5.547886895660511]",3896,5.547886895660511
61,150228,Norwood Hall Hotel,Garthdee Rd,Cults,Aberdeen,NES,United Kingdom,AB15 9FX,73,Aberdeen,Aberdeen Surrounding,188101.0,Independent,Upper Midscale Class,Urban,Independent,202007.0,441224868951.0,57.11736,-2.150968,"(57.11736, -2.150968)","[20551, 3.200015669600924]",20551,3.200015669600924
62,248833,Cults Hotel,328 North Deeside Rd,Cults,Aberdeen,NES,United Kingdom,AB15 9SE,16,Aberdeen,Aberdeen Surrounding,,Independent,Upscale Class,Urban,Independent,,441224867632.0,57.119061,-2.173789,"(57.119061, -2.173789)","[20551, 4.026302423629777]",20551,4.026302423629777
63,123634,Premier Inn Aberdeen North Bridge Of Don,Ellon Rd,Bridge Of Don,Aberdeen,NES,United Kingdom,AB23 8BP,89,Aberdeen,Aberdeen Surrounding,199201.0,Premier Inn,Economy Class,Suburban,Premier Inn,202007.0,448715278010.0,57.203428,-2.09076,"(57.203428, -2.09076)","[3131, 1.9102432574126567]",3131,1.9102432574126567
64,248916,Brig Inn Hotel,9 Ellon Rd,Bridge of Don,Aberdeen,NES,United Kingdom,AB23 8EB,8,Aberdeen,Aberdeen Surrounding,,Independent,Upscale Class,Urban,Independent,,441224702449.0,57.177236,-2.090921,"(57.177236, -2.090921)","[3131, 0.481316763036677]",3131,0.481316763036677
65,248922,Trump MacLeod House & Lodge,Balmedie,,Aberdeen,NES,United Kingdom,AB23 8YE,16,Aberdeen,Aberdeen Surrounding,201301.0,Trump International,Luxury Class,Small Metro/Town,Trump International,201301.0,441358743300.0,57.27514,-2.038769,"(57.27514, -2.038769)","[3194, 0.7876458252930493]",3194,0.7876458252930493
66,141920,Premier Inn Aberdeen Westhill,10 Straik Rd,Westhill,Westhill,NES,United Kingdom,AB32 6HF,103,Aberdeen,Aberdeen Surrounding,200001.0,Premier Inn,Economy Class,Urban,Premier Inn,202102.0,448715278004.0,57.149818,-2.276898,"(57.149818, -2.276898)","[3896, 7.4715974219671635]",3896,7.4715974219671635
67,233555,Hampton By Hilton Aberdeen Westhill,Strail Rd,Elrick,Westhill,NES,United Kingdom,AB32 6TL,173,Aberdeen,Aberdeen Surrounding,201705.0,Hampton by Hilton,Upper Midscale Class,Urban,Hampton by Hilton,202005.0,441224984044.0,57.148818,-2.294804,"(57.148818, -2.294804)","[3896, 8.145110766487614]",3896,8.145110766487614
68,140670,Holiday Inn Aberdeen West,Westhill Dr,Westhill,Westhill,NES,United Kingdom,AB32 6TT,86,Aberdeen,Aberdeen Surrounding,197406.0,Best Western,Upper Midscale Class,Suburban,Holiday Inn,200610.0,441224270300.0,57.15425,-2.276317,"(57.15425, -2.276317)","[3896, 7.443704907716507]",3896,7.443704907716507
69,123732,Premier Inn Dunstable Luton,350 Luton Rd,,Dunstable,EOE,United Kingdom,LU5 4LL,46,Bedfordshire and Hertfordshire,Bedfordshire Regional,199601.0,Premier Inn,Economy Class,Urban,Premier Inn,202006.0,448715278330.0,51.891479,-0.486252,"(51.891479, -0.486252)","[54063, 12.881596142099045]",54063,12.881596142099045
70,152892,Old Palace Lodge Hotel,Harvester Way,,Dunstable,EOE,United Kingdom,LU5 4RT,85,Bedfordshire and Hertfordshire,Bedfordshire Regional,196001.0,Hanover International,Midscale Class,Suburban,Independent,200409.0,441582662201.0,51.886918,-0.51751,"(51.886918, -0.51751)","[54064, 13.786269571284272]",54064,13.786269571284272
71,237002,The Griffin,2 Station Rd,,Dunstable,EOE,United Kingdom,LU5 6BN,5,Bedfordshire and Hertfordshire,Bedfordshire Regional,190501.0,Independent,Upper Midscale Class,Small Metro/Town,Independent,190501.0,441525875946.0,51.950255,-0.531412,"(51.950255, -0.531412)","[54180, 16.217948503930447]",54180,16.217948503930447
72,127096,Travelodge Toddington M1 Southbound Hotel,Moto Service Area,M1,Dunstable,EOE,United Kingdom,LU5 6HR,66,Bedfordshire and Hertfordshire,Bedfordshire Regional,198901.0,"Travelodge, UK",Economy Class,Airport,"Travelodge, UK",202007.0,448719846214.0,51.947515,-0.499735,"(51.947515, -0.499735)","[54063, 15.673692417358609]",54063,15.673692417358609
73,201995,Holiday Inn Express Dunstable,225 London Rd,,Dunstable,EOE,United Kingdom,LU6 3DX,120,Bedfordshire and Hertfordshire,Bedfordshire Regional,201206.0,Holiday Inn Express,Upper Midscale Class,Suburban,Holiday Inn Express,202007.0,441582344499.0,51.873481,-0.500699,"(51.873481, -0.500699)","[54063, 12.837913038115024]",54063,12.837913038115024
74,237072,The Heath Inn,76 Woburn Rd,,Leighton Buzzard,EOE,United Kingdom,LU7 0AR,16,Bedfordshire and Hertfordshire,Bedfordshire Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441525237390.0,51.949152,-0.655367,"(51.949152, -0.655367)","[54180, 12.110918046883976]",54180,12.110918046883976
75,172955,The Swan Hotel,50 High St,,Leighton Buzzard,EOE,United Kingdom,LU7 1EA,39,Bedfordshire and Hertfordshire,Bedfordshire Regional,,Independent,Upscale Class,Suburban,Independent,,441525380170.0,51.916223,-0.66181,"(51.916223, -0.66181)","[54180, 10.345383206353866]",54180,10.345383206353866
76,237149,White Horse,9 New Rd,,Leighton Buzzard,EOE,United Kingdom,LU7 2LS,5,Bedfordshire and Hertfordshire,Bedfordshire Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441525635739.0,51.91614,-0.67184,"(51.91614, -0.67184)","[54180, 10.016051901006396]",54180,10.016051901006396
77,127018,Redwings Lodge Hockliffe Dunstable,Watling St,Hockliffe,Leighton Buzzard,EOE,United Kingdom,LU7 9LZ,28,Bedfordshire and Hertfordshire,Bedfordshire Regional,,"Travelodge, UK",Midscale Class,Suburban,Independent,201308.0,441525211999.0,51.921695,-0.573107,"(51.921695, -0.573107)","[54180, 13.664785786574141]",54180,13.664785786574141
78,233927,Premier Inn Bedford Town Centre Riverside,Riverside Sq,,Bedford,EOE,United Kingdom,MK40 1AS,100,Bedfordshire and Hertfordshire,Bedfordshire Regional,201705.0,Premier Inn,Economy Class,Urban,Premier Inn,202007.0,448715279672.0,52.134552,-0.469747,"(52.134552, -0.469747)","[54063, 25.64428904147215]",54063,25.64428904147215
79,236811,The Grafton,141 Midland Rd,,Bedford,EOE,United Kingdom,MK40 1DN,18,Bedfordshire and Hertfordshire,Bedfordshire Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441234359294.0,52.135158,-0.475943,"(52.135158, -0.475943)","[54063, 25.789227913354303]",54063,25.789227913354303
80,237257,The Pilgrim's Progress,42 Midland Rd,,Bedford,EOE,United Kingdom,MK40 1QB,31,Bedfordshire and Hertfordshire,Bedfordshire Regional,201601.0,Wetherspoon,Economy Class,Small Metro/Town,Wetherspoon,201601.0,441234344566.0,52.135796,-0.471655,"(52.135796, -0.471655)","[54063, 25.755552658478262]",54063,25.755552658478262
81,125926,Bedford Swan Hotel,The Embankment,,Bedford,EOE,United Kingdom,MK40 1RW,113,Bedfordshire and Hertfordshire,Bedfordshire Regional,191601.0,Independent,Upscale Class,Small Metro/Town,Independent,202007.0,441234346565.0,52.134926,-0.465179,"(52.134926, -0.465179)","[54063, 25.590781995780603]",54063,25.590781995780603
