,STR Number,Hotel Name,Address 1,Address 2,City,State,Country,Postal Code,Rooms,Market,Sub-Market,Open Date,Original Affiliation,Class,Location,Affiliation,Year/Month Affiliated,Telephone,Latitude,Longitude,coordinates,nearBeach,BeachID,distance
754,125933,Fisherman's Cot Hotel,Bickleigh,,Tiverton,SWE,United Kingdom,EX16 8RW,21,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Midscale Class,Suburban,Independent,,441884855237.0,50.857623,-3.511939,"(50.857623, -3.511939)","[3516, 16.693059759372584]",3516,16.693059759372584
755,243242,Quarryman's Rest,Briton St,,Tiverton,SWE,United Kingdom,EX16 9LN,4,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441398331480.0,50.989001,-3.482415,"(50.989001, -3.482415)","[2877, 15.134521948461897]",2877,15.134521948461895
756,243243,The Swan,Station Rd,,Tiverton,SWE,United Kingdom,EX16 9NG,3,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,175301.0,Independent,Upper Upscale Class,Small Metro/Town,Independent,175301.0,441398332248.0,50.990348,-3.488297,"(50.990348, -3.488297)","[2877, 15.059469434823598]",2877,15.059469434823598
757,242696,Lamb Inn,The Square,,Crediton,SWE,United Kingdom,EX17 4LW,6,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,200801.0,Independent,Upper Upscale Class,Small Metro/Town,Independent,200801.0,441363773676.0,50.809985,-3.664859,"(50.809985, -3.664859)","[3516, 16.790695126664566]",3516,16.790695126664566
760,271289,The Old Malt Scoop Inn,Lapford Brg,Lapford,Crediton,SWE,United Kingdom,EX17 6PZ,4,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,44136383330.0,50.860248,-3.802608,"(50.860248, -3.802608)","[2570, 21.286021225249186]",2570,21.286021225249183
761,242433,Thelbridge Cross Inn,Thelbridge Hl,,Crediton,SWE,United Kingdom,EX174SH,8,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Upscale Class,Small Metro/Town,Independent,,441884860316.0,50.894958,-3.721676,"(50.894958, -3.721676)","[3820, 22.775285031438237]",3820,22.77528503143824
762,242410,The Red Lion,East St,,Chulmleigh,SWE,United Kingdom,EX18 7DD,5,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441769581007.0,50.912746,-3.868777,"(50.912746, -3.868777)","[2570, 16.785752803298656]",2570,16.785752803298656
763,242411,Royal Oak Inn,B3042,,Chulmleigh,SWE,United Kingdom,EX18 7HG,5,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441769580427.0,50.898675,-3.834683,"(50.898675, -3.834683)","[2570, 18.559430804446116]",2570,18.55943080444612
764,153059,The Fox & Hounds Country Hotel,Fox and Hounds Hotel,,Chulmleigh,SWE,United Kingdom,EX18 7JZ,19,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Upscale Class,Urban,Independent,,441769580345.0,50.890923,-3.877307,"(50.890923, -3.877307)","[2570, 17.42797339976435]",2570,17.42797339976435
765,243198,Duke of York,Winkleigh,,Winkleigh,SWE,United Kingdom,EX19 8BG,8,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441837810253.0,50.85563,-4.034057,"(50.85563, -4.034057)","[2570, 15.187564992481178]",2570,15.187564992481178
766,243272,Royal Oak,The Square,,Winkleigh,SWE,United Kingdom,EX19 8QF,5,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441805804288.0,50.890467,-4.034893,"(50.890467, -4.034893)","[2570, 13.02798482562303]",2570,13.02798482562303
767,231462,The Rams Head Inn,South St,,Winkleigh,SWE,United Kingdom,EX19 8QS,8,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441805804255.0,50.890728,-4.033009,"(50.890728, -4.033009)","[2570, 13.052755159066175]",2570,13.052755159066177
768,242921,Fountain Hotel,Fore St,,Okehampton,SWE,United Kingdom,EX20 1AP,6,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,44183753532.0,50.739579,-4.001143,"(50.739579, -4.001143)","[2236, 22.25481852755658]",2236,22.25481852755658
769,242634,White Hart Hotel,Fore St,,Okehampton,SWE,United Kingdom,EX20 1HD,23,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,175301.0,Wetherspoon,Economy Class,Small Metro/Town,Wetherspoon,175301.0,441837658533.0,50.738838,-4.003401,"(50.738838, -4.003401)","[2236, 22.236623277491663]",2236,22.236623277491663
771,174427,Upcott House,31 Herons Brk,,Okehampton,SWE,United Kingdom,EX20 1UW,11,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Economy Class,Urban,Independent,,44183753743.0,50.74291,-4.012122,"(50.74291, -4.012122)","[2236, 21.78359706719304]",2236,21.78359706719304
774,243153,George Hotel,Market St,,Okehampton,SWE,United Kingdom,EX20 3JN,13,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,201001.0,Independent,Upscale Class,Small Metro/Town,Independent,201001.0,441837811755.0,50.821481,-4.072729,"(50.821481, -4.072729)","[2236, 15.878746881569604]",2236,15.878746881569604
781,157318,The Manor House Hotel,Bowerland Rd,Fowley Cross,Okehampton,SWE,United Kingdom,EX20 4NA,204,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Upscale Class,Small Metro/Town,Independent,,44183753053.0,50.733231,-4.070269,"(50.733231, -4.070269)","[2236, 20.958110915126877]",2236,20.95811091512688
782,221559,The Ashbury Hotel,Fowley Cross,Fowley Cross,Okehampton,SWE,United Kingdom,EX20 4NA,222,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Upscale Class,Small Metro/Town,Independent,,44183753053.0,50.734077,-4.070234,"(50.734077, -4.070234)","[2236, 20.908101315113214]",2236,20.90810131511321
783,242271,Blagdon Manor,Ashwater,,Beaworthy,SWE,United Kingdom,EX21 5DF,6,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Upscale Class,Small Metro/Town,Independent,,441409211224.0,50.749326,-4.31403,"(50.749326, -4.31403)","[2182, 11.033843500204284]",2182,11.033843500204284
784,242828,Percy's Country Hotel & Restaurant,Coombeshead Est,,Beaworthy,SWE,United Kingdom,EX21 5EA,7,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,199601.0,Independent,Upper Upscale Class,Small Metro/Town,Independent,199601.0,441409211236.0,50.704971,-4.290686,"(50.704971, -4.290686)","[2182, 13.12635822976425]",2182,13.12635822976425
785,242701,Half Moon Inn,North St,Sheepwash,Beaworthy,SWE,United Kingdom,EX21 5NE,13,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Midscale Class,Small Metro/Town,Independent,,441409231376.0,50.83681,-4.150798,"(50.83681, -4.150798)","[2236, 13.007598465003579]",2236,13.00759846500358
786,242939,Devil's Stone Inn,Beaworthy,,Beaworthy,SWE,United Kingdom,EX21 5RU,8,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,175301.0,Independent,Upper Midscale Class,Small Metro/Town,Independent,175301.0,441409281210.0,50.861973,-4.219421,"(50.861973, -4.219421)","[2236, 10.079900917220378]",2236,10.079900917220378
789,242503,Court Barn Country Hotel,Clawton,,Holsworthy,SWE,United Kingdom,EX22 6PS,6,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441409271219.0,50.769768,-4.34608,"(50.769768, -4.34608)","[2182, 9.352504006461063]",2182,9.352504006461064
791,242363,Bayview Inn,Marine Drive,,Bude,SWE,United Kingdom,EX23 0AW,6,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441288361273.0,50.796568,-4.554639,"(50.796568, -4.554639)","[2182, 0.2949074032650061]",2182,0.2949074032650061
792,242366,Widemouth Manor,Marine Dr,,Bude,SWE,United Kingdom,EX23 0DE,7,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441288361207.0,50.781538,-4.557444,"(50.781538, -4.557444)","[2182, 0.7638028029319219]",2182,0.7638028029319219
793,242582,Bullers Arms Hotel,Helebridge Rd,,Bude,SWE,United Kingdom,EX23 0HB,6,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,185601.0,Independent,Upscale Class,Small Metro/Town,Independent,185601.0,441288361277.0,50.805407,-4.520796,"(50.805407, -4.520796)","[2182, 1.815467146125701]",2182,1.815467146125701
794,242431,Coombe Barton Inn,Mill Ball Hill,,Bude,SWE,United Kingdom,EX23 0JG,5,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441840230345.0,50.741373,-4.632872,"(50.741373, -4.632872)","[2182, 4.847099209408892]",2182,4.847099209408892
795,242365,Elements Hotel,Marine Dr,,Bude,SWE,United Kingdom,EX23 0LZ,11,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441288352386.0,50.810662,-4.554492,"(50.810662, -4.554492)","[2182, 1.2538763824803651]",2182,1.2538763824803651
796,173142,The Edgcumbe,19 Summerleaze Cres,,Bude,SWE,United Kingdom,EX23 8HJ,12,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Midscale Class,Suburban,Independent,,441288353846.0,50.831416,-4.548554,"(50.831416, -4.548554)","[2848, 0.2994890884252054]",2848,0.2994890884252054
797,176208,Atlantic House Hotel,17 Summerleaze Cres,,Bude,SWE,United Kingdom,EX23 8HJ,16,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Economy Class,Suburban,Independent,,441288352451.0,50.831429,-4.548472,"(50.831429, -4.548472)","[2848, 0.30250183264585145]",2848,0.3025018326458514
798,243022,The Beach @ Bude,Summerleaze Cres,,Bude,SWE,United Kingdom,EX23 8HJ,17,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Upscale Class,Small Metro/Town,Independent,,441288389800.0,50.83159,-4.549108,"(50.83159, -4.549108)","[2848, 0.2726028286662931]",2848,0.2726028286662931
799,126067,An Mor Hotel,6 Hartland Ter,,Bude,SWE,United Kingdom,EX23 8JY,28,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,193301.0,Independent,Upscale Class,Suburban,Independent,193301.0,441288355460.0,50.830972,-4.546585,"(50.830972, -4.546585)","[2848, 0.3907018143314142]",2848,0.3907018143314142
804,243256,Globe Hotel,13 Strand,,Bude,SWE,United Kingdom,EX23 8QU,4,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441288352085.0,50.828724,-4.544516,"(50.828724, -4.544516)","[2848, 0.5424560574858659]",2848,0.5424560574858659
806,252019,Premier Inn Bude,The Strand,,Bude,SWE,United Kingdom,EX23 8RU,67,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,201801.0,Premier Inn,Economy Class,Small Metro/Town,Premier Inn,202012.0,448715271078.0,50.827835,-4.543882,"(50.827835, -4.543882)","[2848, 0.600207568243414]",2848,0.600207568243414
807,126066,Falcon Hotel,Breakwater Rd,,Bude,SWE,United Kingdom,EX23 8SD,29,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,179806.0,Independent,Upper Midscale Class,Suburban,Independent,179806.0,441288352005.0,50.826891,-4.54806,"(50.826891, -4.54806)","[2848, 0.5178798322551003]",2848,0.5178798322551003
808,242364,The Brendon Arms,Falcon Ter,,Bude,SWE,United Kingdom,EX23 8SD,9,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,187201.0,Independent,Upscale Class,Small Metro/Town,Independent,187201.0,441288354542.0,50.82671,-4.547849,"(50.82671, -4.547849)","[2848, 0.5334095452122288]",2848,0.5334095452122288
809,242425,Swallows Eaves Hotel,2 Thomas Bassett Dr,,Colyford,SWE,United Kingdom,EX24 6PN,7,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441297553184.0,50.727188,-3.064864,"(50.727188, -3.064864)","[2384, 1.7353065595940653]",2384,1.735306559594065
822,153458,Saunton Sands Hotel,1 Saunton Close,,Braunton,SWE,United Kingdom,EX33 1HA,92,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Urban,Brend Hotels,197706.0,441271890212.0,51.118319,-4.220988,"(51.118319, -4.220988)","[2510, 0.18445949762726985]",2510,0.1844594976272698
876,242826,Rising Sun Inn,Pound Lane End,,Umberleigh,SWE,United Kingdom,EX37 9AA,9,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441769560447.0,50.995878,-3.986127,"(50.995878, -3.986127)","[2570, 9.429888531208286]",2570,9.429888531208286
878,151907,Highbullen Hotel Golf & Country Club,Whitmore Ln,,Umberleigh,SWE,United Kingdom,EX37 9HD,42,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,196306.0,Independent,Upscale Class,Urban,Independent,196306.0,441769540561.0,50.967928,-3.915894,"(50.967928, -3.915894)","[2570, 13.026755226095423]",2570,13.026755226095425
879,151583,Northcote Manor Hotel,A377,,Umberleigh,SWE,United Kingdom,EX37 9LZ,16,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,197201.0,Independent,Upper Upscale Class,Urban,Independent,197201.0,441769560501.0,50.949795,-3.95812,"(50.949795, -3.95812)","[2570, 12.134475860993865]",2570,12.134475860993865
880,242825,Portsmouth Arms Hotel,Umberleigh,,Umberleigh,SWE,United Kingdom,EX37 9ND,4,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441769561117.0,50.956453,-3.953368,"(50.956453, -3.953368)","[2570, 12.034765540214504]",2570,12.034765540214504
881,243258,Exeter Inn,Chittlehamholt,,Umberleigh,SWE,United Kingdom,EX37 9NS,3,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441769540281.0,50.971719,-3.924449,"(50.971719, -3.924449)","[2570, 12.575740452534413]",2570,12.575740452534411
882,243284,Black Horse Inn,17 High St,,Torrington,SWE,United Kingdom,EX38 8HN,3,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,175301.0,Independent,Upscale Class,Small Metro/Town,Independent,175301.0,441805622121.0,50.951738,-4.143354,"(50.951738, -4.143354)","[2570, 7.310839454447701]",2570,7.310839454447701
891,128576,The Hoops Inn & Country Hotel,Fenchurch St,,Bideford,SWE,United Kingdom,EX39 5DL,13,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Suburban,Independent,,441237451222.0,50.984519,-4.316566,"(50.984519, -4.316566)","[2236, 0.8941012808432077]",2236,0.8941012808432077
897,125934,Commodore Hotel,Marine Parade,,Instow,SWE,United Kingdom,EX394JP,25,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,196906.0,Independent,Upper Upscale Class,Suburban,Independent,196906.0,441271860347.0,51.052935,-4.180411,"(51.052935, -4.180411)","[2570, 0.13947440613578008]",2570,0.13947440613578
902,243201,Silverton Inn,5 Fore St,,Silverton,SWE,United Kingdom,EX5 4HP,7,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441392860196.0,50.816378,-3.483915,"(50.816378, -3.483915)","[3516, 13.640170267468845]",3516,13.640170267468845
908,243402,Turf Hotel,Exeter,Exminster,Exeter,SWE,United Kingdom,EX6 8EE,2,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441392833128.0,50.665143,-3.467357,"(50.665143, -3.467357)","[3516, 3.580228329572954]",3516,3.580228329572954
919,233238,Lympstone Manor,Courtlands Ln,Lympstone,Exmouth,SWE,United Kingdom,EX8 3NZ,21,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,201704.0,Independent,Luxury Class,Urban,Independent,201704.0,441395202040.0,50.640338,-3.417936,"(50.640338, -3.417936)","[3516, 1.1809266159464764]",3516,1.1809266159464764
963,242535,Eagle House Hotel,Castle St,,Launceston,SWE,United Kingdom,PL15 8BA,14,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,196001.0,Independent,Upper Midscale Class,Small Metro/Town,Independent,201806.0,441566774488.0,50.638058,-4.362528,"(50.638058, -4.362528)","[2182, 13.65532784069417]",2182,13.65532784069417
964,243299,Countryman Inn,Langdon,,Launceston,SWE,United Kingdom,PL15 8NL,4,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441566785333.0,50.684636,-4.402566,"(50.684636, -4.402566)","[2182, 10.064667052535869]",2182,10.064667052535867
965,243036,Trethorne Golf Club & Hotel,Trethorne,,Launceston,SWE,United Kingdom,PL15 8QE,30,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,44156686903.0,50.622516,-4.428317,"(50.622516, -4.428317)","[2182, 13.03266357515209]",2182,13.03266357515209
966,114030,Arundell Arms Hotel,1 Fore St,,Lifton,SWE,United Kingdom,PL16 0AA,25,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Best Western,Upper Upscale Class,Urban,Independent,200002.0,441566784666.0,50.643238,-4.28407,"(50.643238, -4.28407)","[2182, 15.784657779356086]",2182,15.784657779356086
967,154080,Lifton Hall Hotel,New Rd,,Lifton,SWE,United Kingdom,PL16 0DR,10,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441566784863.0,50.643393,-4.281991,"(50.643393, -4.281991)","[2182, 15.84660627972429]",2182,15.84660627972429
987,242558,Ship Inn Lerryn,2 Fore St,Lerryn,Lostwithiel,SWE,United Kingdom,PL22 0PT,5,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441208872374.0,50.383136,-4.617772,"(50.383136, -4.617772)","[2579, 3.642819888974147]",2579,3.642819888974147
988,242473,Galleon Inn,12 Fore St,,Fowey,SWE,United Kingdom,PL23 1AQ,7,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Upscale Class,Small Metro/Town,Independent,,441726833014.0,50.335633,-4.634713,"(50.335633, -4.634713)","[2579, 0.2850340438990327]",2579,0.2850340438990327
989,242474,King of Prussia,8 Market St,,Fowey,SWE,United Kingdom,PL23 1AS,6,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Upscale Class,Small Metro/Town,Independent,,441726833694.0,50.335256,-4.634641,"(50.335256, -4.634641)","[2579, 0.26377374970067047]",2579,0.2637737497006704
990,242477,Ship Inn,3 Trafalgar Sq,,Fowey,SWE,United Kingdom,PL23 1AZ,5,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,175301.0,Independent,Upper Midscale Class,Small Metro/Town,Independent,175301.0,441726832230.0,50.335068,-4.635201,"(50.335068, -4.635201)","[2579, 0.24047232325701742]",2579,0.2404723232570174
991,242476,Safe Harbour,58 Lostwithial St,,Fowey,SWE,United Kingdom,PL23 1BQ,8,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,441726833379.0,50.335833,-4.637558,"(50.335833, -4.637558)","[2579, 0.26702051639620955]",2579,0.2670205163962095
992,126245,The Fowey Hall Hotel,Hanson Dr,,Fowey,SWE,United Kingdom,PL23 1ET,37,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,196806.0,Luxury Family Hotels,Upscale Class,Suburban,Luxury Family Hotels,196806.0,441726833866.0,50.33435,-4.64117,"(50.33435, -4.64117)","[2579, 0.22518494004892245]",2579,0.2251849400489224
993,242475,Old Ferry Inn,Hall Terrace,,Fowey,SWE,United Kingdom,PL23 1LX,12,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Small Metro/Town,Independent,,441726870237.0,50.339824,-4.629518,"(50.339824, -4.629518)","[2579, 0.6513406750117453]",2579,0.6513406750117453
